producto;cod_barra;descripcion;precio;fecha_mod
670460;7,79834E+12;CARPETA FN 340 CARTONE PPR;$ 173,80;20/4/2020
670481;7,79834E+12;CARPETA FN Nro 3 CARTONE PPR;$ 97,90;20/4/2020
670487;7,79834E+12;CARPETA FN Nro 5 CARTONE PPR;$ 117,70;20/4/2020
670441;7,79828E+12;CARPETA FOOD 340 CARTONE PPR;$ 121,44;20/4/2020
638835;7,79262E+12;CARPETA FOOTY 340 FC100 BOTINES CARTONE;$ 220,00;27/11/2020
638836;7,79262E+12;CARPETA FOOTY 340 FC110 PELOTA CARTONE;$ 220,00;27/11/2020
638837;7,79262E+12;CARPETA FOOTY 340 FC120 SPORT CARTONE;$ 220,00;27/11/2020
638840;7,79262E+12;CARPETA FOOTY 340 FC200 GALAXIA CARTONE;$ 220,00;27/11/2020
638842;7,79262E+12;CARPETA FOOTY 340 FC220 LOVE CARTONE;$ 220,00;27/11/2020
638839;7,79262E+12;CARPETA FOOTY 340 FC250 SWEET CARTONE;$ 220,00;27/11/2020
638834;7,79262E+12;CARPETA FOOTY 340 FC260 PAPAS/DONAS CARTONE;$ 220,00;27/11/2020
638838;7,79262E+12;CARPETA FOOTY 340 FC310 UNICORNIO CARTONE;$ 220,00;27/11/2020
638841;7,79262E+12;CARPETA FOOTY 340 FC330 MARIPOSA CARTONE;$ 220,00;27/11/2020
670467;7,79819E+12;CARPETA FROZEN 340 CARTONE PPR;$ 218,90;20/4/2020
670477;7,79819E+12;CARPETA FROZEN Nro 3 CARTONE PPR;$ 121,00;20/4/2020
670491;7,79819E+12;CARPETA FROZEN Nro 5 CARTONE PPR;$ 143,00;20/4/2020
670442;7,79828E+12;CARPETA FRUITS 340 CARTONE PPR;$ 121,44;20/4/2020
670371;7,79803E+12;CARPETA FRUTILLITAs Nro 5 CARTONE MACO;$ 55,00;20/4/2020
785001;9,19991E+12;CARPETA G-A 826 PRESENTACION A4 * 10 U. COLOR;$ 20,57;4/4/2019
670464;7,79834E+12;CARPETA GRAFFITI 340 CARTONE PPR;$ 173,80;20/4/2020
670055;7,79803E+12;CARPETA HELLO KITTY 340 ESCOLAR T/C MACO;$ 80,30;20/4/2020
670346;7,79809E+12;CARPETA HERENCIA ARG 340 553 CARTONE;$ 26,40;20/4/2020
670466;7,79834E+12;CARPETA HOLOGRAFICA 340 CARTONE PPR;$ 173,80;20/4/2020
670472;7,79834E+12;CARPETA HOLOGRAFICA A4 CARTONE PPR;$ 173,80;20/4/2020
670478;7,79834E+12;CARPETA HOLOGRAFICA Nro 3 CARTONE PPR;$ 97,90;20/4/2020
658001;7,79256E+12;CARPETA HUSARES 60608 A4 325 PLAST 80 H #;$ 179,20;9/4/2021
670494;7,79828E+12;CARPETA ICONOS 3 SOLP. PPR;$ 93,50;20/4/2020
670462;7,79828E+12;CARPETA ICONOS 340 CARTONE PPR;$ 173,80;20/4/2020
670479;7,79828E+12;CARPETA ICONOS Nro 3 CARTONE PPR;$ 97,90;20/4/2020
670475;7,79834E+12;CARPETA INDEPENDIENTE Nro 3 CARTONE PPR;$ 121,00;20/4/2020
795050;7,79828E+12;CARPETA INKDROP 340 17340L19 EMOTICONS;$ 138,01;15/11/2019
795020;7,79828E+12;CARPETA INKDROP 340 17340L21 MOTORCYCLES;$ 138,01;15/11/2019
795059;7,79828E+12;CARPETA INKDROP 340 17340L29 CARS;$ 138,01;15/11/2019
795008;7,79828E+12;CARPETA INKDROP 340 17340L30 SURFING;$ 138,01;15/11/2019
795007;7,79828E+12;CARPETA INKDROP 340 17340L32 TROPICAL;$ 138,01;15/11/2019
795001;7,79828E+12;CARPETA INKDROP 340 17340L34 MUSIC;$ 138,01;15/11/2019
795048;7,79828E+12;CARPETA INKDROP 340 17340L39 FUTBOL;$ 138,01;15/11/2019
795016;7,79828E+12;CARPETA INKDROP 340 17340L40 SKATE;$ 138,01;15/11/2019
795019;7,79828E+12;CARPETA INKDROP 340 17340L41 RUGBY;$ 138,01;15/11/2019
795051;7,79828E+12;CARPETA INKDROP 340 17340L42 PELOTAS I;$ 138,01;15/11/2019
795021;7,79828E+12;CARPETA INKDROP 340 17340L43 VINTAGE CARS;$ 138,01;15/11/2019
795002;7,79828E+12;CARPETA INKDROP 340 17340L45 GOLD ANIMAL;$ 138,01;15/11/2019
795004;7,79828E+12;CARPETA INKDROP 340 17340L46 SUBLIME;$ 138,01;15/11/2019
795003;7,79828E+12;CARPETA INKDROP 340 17340L52 COMICS;$ 138,01;15/11/2019
795018;7,79828E+12;CARPETA INKDROP 340 17340L54 CLASSIC;$ 138,01;15/11/2019
795026;7,79828E+12;CARPETA INKDROP 340 17340L55 ARTENTINO DELICIOSO;$ 138,01;15/11/2019
795049;9,19991E+12;CARPETA INKDROP 340 17340L56 ROMANTICA;$ 138,01;15/11/2019
795006;7,79828E+12;CARPETA INKDROP 340 17340L57 ARTENTINO BUHOS;$ 138,01;15/11/2019
795014;7,79828E+12;CARPETA INKDROP 340 17340L59 CHIMOLA II;$ 138,01;15/11/2019
795017;7,79828E+12;CARPETA INKDROP 340 17340L61 CHIMOLA IV;$ 138,01;15/11/2019
795005;7,79828E+12;CARPETA INKDROP 340 17340L64 PELOTAS II;$ 138,01;15/11/2019
795015;7,79828E+12;CARPETA INKDROP 340 17340L7 SCOMBRO I;$ 138,01;15/11/2019
795060;7,79828E+12;CARPETA INKDROP 340 17340L9 SKULL;$ 138,01;15/11/2019
638499;7,79816E+12;CARPETA INKDROP A4 10240 AUTOS&MOTOS CARTONE;$ 116,50;15/11/2019
638504;7,79816E+12;CARPETA INKDROP A4 11240 URBAN STYLE CARTONE;$ 116,50;15/11/2019
